	Document	Raw	Corrected	Operation	errors	readability
0	AR-030-268469	وسائل	وسائل	NO_CHANGE	0	2
1	AR-030-268469	التواصل	التواصل	NO_CHANGE	0	3
2	AR-030-268469	الاجتماعي	الاجتماعي	NO_CHANGE	0	3
3	AR-030-268469	لها	لها	NO_CHANGE	0	1
4	AR-030-268469	اضرار	أضرار	EDIT	1	2
5	AR-030-268469	و		DELETE	2	1
6	AR-030-268469	فوائد	وفوائد	EDIT	0	2
7	AR-030-268469	كثيرة.	كثيرة.	NO_CHANGE	1	0
8	AR-030-268469	ولكن	ولكن	NO_CHANGE	0	0
9	AR-030-268469	بان	بان	NO_CHANGE	1	2
10	AR-030-268469	في	في	NO_CHANGE	0	1
11	AR-030-268469	الأوان	الآونة	EDIT	0	3
12	AR-030-268469	الأخيره	الأخيرة	EDIT	1	2
13	AR-030-268469	ان	أن	EDIT	1	2
14	AR-030-268469	مضاره	مضارها	EDIT	0	4
15	AR-030-268469	اكبر	أكبر	EDIT	1	4
16	AR-030-268469	بكثير	بكثير	NO_CHANGE	0	0
17	AR-030-268469	من	من	NO_CHANGE	0	1
18	AR-030-268469	منافعه.	منافعها.	EDIT	0	0
19	AR-030-268469	فاذا	فإذا	EDIT	1	0
20	AR-030-268469	نش	نشأ	EDIT	0	5
21	AR-030-268469	الطفل	الطفل	NO_CHANGE	0	1
22	AR-030-268469	و		DELETE	2	1
23	AR-030-268469	هو		DELETE	0	1
24	AR-030-268469	بيده	وبيده	EDIT	0	1
25	AR-030-268469	هاتفا	هاتف	EDIT	0	1
26	AR-030-268469	او	أو	EDIT	1	0
27	AR-030-268469	جهاز	جهاز	NO_CHANGE	0	1
28	AR-030-268469	الكترونيا	إلكتروني	EDIT	1	2
29	AR-030-268469	ستلاحظ	ستلاحظ	NO_CHANGE	0	1
30	AR-030-268469	عدم	عدم	NO_CHANGE	0	4
31	AR-030-268469	قدرته	قدرته	NO_CHANGE	0	2
32	AR-030-268469	على	على	NO_CHANGE	0	1
33	AR-030-268469	الاستجابه	الاستجابة	EDIT	1	3
34	AR-030-268469	بسرعه.	بسرعة.	EDIT	0	0
35	AR-030-268469	و		DELETE	2	1
36	AR-030-268469	ايضا	وأيضا	EDIT	1	4
37	AR-030-268469	سوف	سوف	NO_CHANGE	0	3
38	AR-030-268469	تلاحظ	تلاحظ	NO_CHANGE	0	1
39	AR-030-268469	عدم	عدم	NO_CHANGE	0	4
40	AR-030-268469	قدرته	قدرته	NO_CHANGE	0	2
41	AR-030-268469	على	على	NO_CHANGE	0	1
42	AR-030-268469	التركيز.	التركيز.	NO_CHANGE	0	0
43	AR-030-268469	و		DELETE	2	1
44	AR-030-268469	مضار	ومضار	EDIT	0	4
45	AR-030-268469	التواصل	التواصل	NO_CHANGE	0	3
46	AR-030-268469	الاجتماعي	الاجتماعي	NO_CHANGE	0	3
47	AR-030-268469	لم	لم	NO_CHANGE	0	0
48	AR-030-268469	يكتفي	تكتف	EDIT	0	4
49	AR-030-268469	بالأطفال	بالأطفال	NO_CHANGE	0	1
50	AR-030-268469	و		DELETE	2	1
51	AR-030-268469	المراهقين	والمراهقين	EDIT	0	3
52	AR-030-268469	فقط	فقط	NO_CHANGE	0	2
53	AR-030-268469	بل	بل	NO_CHANGE	0	0
54	AR-030-268469	على		DELETE	0	1
55	AR-030-268469	جميع	بجميع	EDIT	0	0
56	AR-030-268469	الفئات	الفئات	NO_CHANGE	0	4
57	AR-030-268469	العمريهز	العمرية.	EDIT	0	0
58	AR-030-268469	فكم	فكم	NO_CHANGE	0	3
59	AR-030-268469	من	من	NO_CHANGE	0	1
60	AR-030-268469	شخص	شخص	NO_CHANGE	0	1
61	AR-030-268469	قد	قد	NO_CHANGE	0	3
62	AR-030-268469	رحل	رحل	NO_CHANGE	0	1
63	AR-030-268469	من	من	NO_CHANGE	0	1
64	AR-030-268469	هذيه	هذه	EDIT	0	0
65	AR-030-268469	الدنيا	الدنيا	NO_CHANGE	0	1
66	AR-030-268469	بسبب	بسبب	NO_CHANGE	0	1
67	AR-030-268469	حادث	حادث	NO_CHANGE	0	2
68	AR-030-268469	سياره	سيارة،	EDIT	1	1
69	AR-030-268469	و		DELETE	2	1
70	AR-030-268469	سببه	وسببه	EDIT	0	1
71	AR-030-268469	الهاتف	الهاتف	NO_CHANGE	0	1
72	AR-030-268469	المتحرك	المتحرك	NO_CHANGE	0	2
73	AR-030-268469	ليتفقد	ليتفقد	NO_CHANGE	0	3
74	AR-030-268469	الشخص	الشخص	NO_CHANGE	0	1
75	AR-030-268469	صفحة	صفحة	NO_CHANGE	0	1
76	AR-030-268469	على	على	NO_CHANGE	0	1
77	AR-030-268469	مواقع	مواقع	NO_CHANGE	0	2
78	AR-030-268469	التواصل	التواصل	NO_CHANGE	0	3
79	AR-030-268469	الاجتماعي.	الاجتماعي.	NO_CHANGE	0	0
