Document	Raw	to_grade	from_grade			
AR-030-97791	'كان هناك الكثير من التحسينات من الناس الذين جاءوا إلينا من أماكن مختلفة. هم ساعدوا الامارات. أعطونا كل ما نحتاجه. كل ما نريده هو مكان آمن و بلا مشاكل. الامارات أعطتنا مكان آمن أولا. هذا هو السبب الناس يأتون من أماكن بعيدة إلى هنا، بنوا لنا مطاعم جميلة و مدارس و جامعات عالية، أيضا بنوا لنا شوارع و طرق جيدة و قوانين للجميع في الامارات. الأفكار الجميلة جاءت من أماكن مختلفة و الامارات بحثت كثيرا و ذهبت إلى أماكن أخرى لفهم العالم و الأفكار و كيفية بنائها بشكل جيد، هذا يأخذ الكثير من الوقت و العمل، أنا فخورة جدا بأن أكون من الامارات. '	A1	B1			
AR-030-97791	'كانت هناك تغييرات كبيرة من قبل الناس الذين جاءوا من دول مختلفة وساعدوا الإمارات. أعطونا كل ما نحتاجه وكل ما نريد. نريد مجتمع آمن بدون مشاكل. الإمارات قدمت لنا مكان آمن أولا. هذا هو السبب الذي يجعل الناس يأتون من دول بعيدة إلى هنا. بنوا لنا مطاعم جيدة ومدارس وجامعات عالية. كما بنوا لنا شوارع وطرق مرتبة وقوانين لكل شخص في الإمارات. هذه الأفكار الجميلة جاءت من دول مختلفة. الإمارات قامت بالكثير من البحث وزارت أماكن أخرى لاستكشاف العالم. هذا يأخذ الكثير من الوقت والجهد. أنا فخورة جدا بأن أكون من الإمارات.'	A2	B1			
AR-030-97791	'لقد شهدنا العديد من التطورات الحضارية الهائلة التي أحدثتها هذه الأعراق المتنوعة التي أتت إلينا من أرجاء العالم وعملت على تعزيز دولة الإمارات. لقد قدموا لنا كل ما نحتاجه، وكل ما نتطلع إليه هو مجتمع آمن وخال من المشاكل والمتاعب. دولة الإمارات العربية المتحدة، بدورها، قدمت لنا بيئة آمنة، وهذا هو أحد الأسباب التي تجعل الناس يأتون من بلدان بعيدة إلى هنا. إنهم بنوا لنا أرقى المطاعم وأعلى المدارس والجامعات، وأيضاً قاموا بتطوير شوارع وطرق منظمة وقوانين تطبق على كل فرد في دولة الإمارات العربية المتحدة. هذه الأفكار الرائعة والمدهشة جاءت من كل مكان ممكن، ومن الواضح أن دولتنا قامت ببذل الكثير من الجهد في البحوث والسفر إلى أماكن أخرى لاستكشاف العالم بأسره والاستفادة من الأفكار وطرق البناء الفريدة والمثالية. هذا الأمر يتطلب الكثير من الوقت والجهد، ولذلك أنا فخورة جداً بكوني مواطنة إماراتية. هذه النظرة المتطورة والتفكير الإبداعي تجعلنا نتطلع دائماً إلى المستقبل ونحافظ على الازدهار والتقدم الذي تحققه دولة الإمارات العربية المتحدة.'	C1	B1			
AR-030-97791	'لقد شهدت الكثير من التطورات الحضارية الهائلة من قبل هؤلاء الأفراد المتميزين الذين جاءوا إلينا من جميع أرجاء العالم، والذين عملوا بجد لتعزيز مكانة دولة الإمارات. لقد أسهموا في تلبية جميع احتياجاتنا وكل ما نتوق إليه، وهو مجتمع آمن وخالي من المشاكل والمتاعب. قدمت لنا دولة الإمارات العربية المتحدة أولاً وقبل كل شيء ملاذاً آمناً، وهو أحد الأسباب الرئيسية التي تجذب الناس من دول بعيدة للإقامة هنا. بنوا لنا أرقى المطاعم وأكثر المدارس والجامعات تقدماً، وأيضاً أنشأوا لنا شوارع وطرق متنظمة وقوانين تطبق بعدل على كل فرد في دولة الإمارات العربية المتحدة. تأتي هذه الأفكار الرائعة والمدهشة من جميع أنحاء العالم، ومن الواضح أن دولتنا قد قامت بالكثير من البحوث والاستكشافات في أماكن متعددة للتعرف على العالم بأسره والتمكن من استيعاب الأفكار وطرق البناء بطريقة فردية ومثلى. هذا الأمر يتطلب الكثير من الوقت والجهد، ولذا أنا فخورة بشكل لا يوصف بكوني مواطنة إماراتية.'	C2	B1			
AR-130-119813	"تتمتع وسائل التواصل الاجتماعي بالعديد من الجوانب الإيجابية والسلبية، ولكنها قد تكون ذات تأثير سلبي أكبر على الفرد في بعض الظروف. العديد من الأفراد يستغلون وسائل التواصل الاجتماعي بطرق غير صحيحة، مما يمكن أن يؤدي إلى تأثيرات ضارة على الصحة العقلية والجسدية. يمكن للفرد أن يتأثر بشكل كبير بالمعلومات والأفكار السائدة على شبكات التواصل الاجتماعي، وهذا قد يتأثر بشكل سلبي على النظرة العامة للفرد وتصرفاته، كما أشرنا إلى ذلك سابقاً. من المهم أن نتذكر دائماً أن الاستخدام الأمثل والمسؤول لوسائل التواصل الاجتماعي يمكن أن يكون أداة قوية للتواصل والتعلم، ولكن الاستخدام الغير معتدل والغير مسؤول قد يؤدي إلى العديد من المشاكل النفسية والاجتماعية."""	C1	A2			
AR-130-119813	تتمتع وسائل التواصل الاجتماعي بالعديد من الجوانب الموجبة والسلبية، ولكن يمكن أن تكون تأثيراتها السلبية أكثر بروزًا وتأثيرًا في حياة الفرد. يواجه العديد من الأشخاص صعوبات في استخدام وسائل التواصل الاجتماعي بطرق ملائمة وفعالة، مما يؤدي إلى تعرضهم لأضرار محتملة. يمكن للفرد أن يتأثر بشكل كبير بما يتلقاه من معلومات ومحتوى عبر هذه الوسائل، وهذا قد يضر بصورته الذاتية وقد يؤدي إلى تشويه فهمه للواقع. كما أشرنا سابقًا، يمكن أن يكون تأثير وسائل التواصل الاجتماعي ضارًا إذا لم يتم استخدامها بطريقة مدروسة ومتزنة.	C2	A2			
AR-130-121991965	'الناس تستخدم الانترنت كثيرا. الانترنت لها تأثير جيد و سيء. التأثير السيء هو أن الناس يستخدمون الانترنت بطريقة غير جيدة. هذا يسبب مشاكل و أمراض. الأمراض هي أن الأشخاص لا يريدون الخروج من البيت أو الرياضة. هم فقط يريدون الأكل و استخدام الانترنت. التأثير الجيد هو أن الناس يمكن أن يستخدموا الانترنت للدراسة أو الاتصال مع المعلم لسؤال أو الاتصال مع شخص بعيد. الانترنت يمكن أن تجعل الناس أقرب. الانترنت تساعد المجتمع أيضا. هي تجعل المجتمع أفضل.'	A2	B1			
AR-130-121991965	'التواصل الاجتماعي له تأثير. هناك تأثير جيد و تأثير سيء. التواصل الاجتماعي يمكن أن يكون سيء. الناس يستخدمونه بطريقة سيئة. يمكن أن يسبب مشاكل و أمراض. الناس لا يريدون الخروج من البيت. يريدون فقط الأكل و استخدام التواصل الاجتماعي. ولكن التواصل الاجتماعي يمكن أن يكون جيد. الناس يمكنهم استخدامه للدراسة. يمكنهم التحدث مع المدرس. يمكنهم التحدث مع صديق بعيد. يمكن أن يجعل الناس أقرب. التواصل الاجتماعي يمكن أن يساعد المجتمع. يمكن أن يجعل المجتمع أفضل.'	A1	B1			
AR-130-121991965	"'تتمتع وسائل التواصل الاجتماعي بالقدرة على التأثير بقوة على الفرد والمجتمع بأسره، وهذا التأثير يمكن أن يكون إما إيجابيًا أو سلبيًا. بالنسبة للتأثير السلبي، يمكن أن يتمثل ذلك في استخدام الفرد لوسائل التواصل الاجتماعي بطريقة غير مناسبة، مما يؤدي إلى ظهور مشاكل وأمراض متعددة. على سبيل المثال، قد يصبح الفرد متعلقًا بشكل مفرط بوسائل التواصل الاجتماعي حتى يصبح غير قادر على القيام بالأنشطة البدنية الأساسية أو حتى الخروج من المنزل، ويصبح مهووسًا بالطعام واستخدام وسائل التواصل الاجتماعي فقط.

من ناحية أخرى، يمكن أن يكون لوسائل التواصل الاجتماعي تأثير إيجابي على الفرد، حيث يمكن أن يستغل هذه الوسائل لتعزيز فرص التعلم والتواصل مع المعلمين للحصول على توضيحات حول الأسئلة المحيرة، أو حتى للتواصل مع الأشخاص الذين يحبهم والذين يعيشون بعيدًا عنه. من الممكن أيضًا أن تعزز وسائل التواصل الاجتماعي العلاقات بين الأفراد وتقربهم من بعضهم البعض.

وعلى مستوى المجتمع، يمكن أن تساهم وسائل التواصل الاجتماعي في تنمية وترقية المجتمع، من خلال تشجيع التواصل والتعاون والتفاعل الإيجابي بين أعضائه.'"	C1	B1			
AR-130-121991965	"'تمثل وسائل التواصل الاجتماعي عنصرًا محوريًا في الحياة اليومية للأفراد والمجتمعات، حيث تتراوح تأثيراتها بين الإيجابية والسلبية. بالنسبة للتأثير السلبي لوسائل التواصل الاجتماعي على الفرد، يمكن أن يتجلى في استخدامها بطريقة غير مناسبة، مما يمكن أن يؤدي إلى تسبيب مجموعة من المشكلات والمضاعفات الصحية. بالإشارة إلى المضاعفات الصحية، يمكن أن يكون الفرد معرضًا للإصابة بالكسل وعدم الرغبة في ممارسة النشاط البدني أو الخروج من المنزل، حيث يصبح الاهتمام الرئيسي مركزًا حول الطعام واستخدام وسائل التواصل الاجتماعي فقط.

بالمقابل، يمكن أن يكون لوسائل التواصل الاجتماعي تأثيرًا إيجابيًا على الفرد، حيث يمكنه استخدامها كأداة فعالة للدراسة والتواصل مع المعلمين لطرح الأسئلة والاستفسارات، أو للتواصل مع الأشخاص الأعزاء الذين يعيشون بعيدًا. بالإضافة إلى ذلك، يمكن أن تسهم وسائل التواصل الاجتماعي في تعزيز العلاقات الشخصية بين الأفراد.

من منظور المجتمع، يمكن أن تكون وسائل التواصل الاجتماعي أداة قوية لتنمية وترقية المجتمعات. يمكن أن تسهم في تعزيز التواصل والتفاعل بين أفراد المجتمع، وتعزيز الشعور بالانتماء والتضامن، مما يقود في النهاية إلى تحقيق مجتمع أكثر تماسكًا وتحضرًا.'"	C2	B1			
AR-130-165859	'الناس يحبون استخدام الانترنت. الكبار والصغار يحبونه. يستخدمه الناس للتحدث مع الأصدقاء ومعرفة الأخبار. بعض الناس يستخدمونه لبيع الأشياء وكسب المال. لكن، إذا استخدم الناس الانترنت بطريقة سيئة، يمكن أن يكون سيئًا. مثلا، إذا كان الناس يستخدمون الانترنت كثيرا، يمكن أن يصبحوا مدمنين. هذا يمكن أن يسبب مشاكل في العائلة، مثل الطلاق. يمكن أن يكون سيئًا للأطفال أيضًا، إذا لم يراقبهم الأهل. العائلة الجيدة تساعد في بناء مجتمع جيد.	A1	B2			
AR-130-165859	'الناس كبير وصغير يستخدمون الانترنت. الانترنت مكان يقضي الناس فيه وقت. بعض الناس يستخدمون الانترنت للتحدث مع الأصدقاء ومعرفة الأخبار. بعض الناس يستخدمون الانترنت لبيع الأشياء وكسب المال. لكن إذا استخدم الناس الانترنت بطريقة سيئة، يمكن أن يكون لها تأثيرات سيئة. مثل، إذا كان الناس يستخدمون الانترنت كثيرا، يمكن أن يكون لها تأثيرات سيئة على الأشخاص والمجتمع. مثل، يمكن أن تسبب مشاكل في الزواج والعائلة. ويمكن أن يكون لها تأثير سيئ على الأطفال إذا لم يكن الوالدين يراقبونهم. إذا كانت العائلة ليست جيدة، المجتمع ليس جيد.	A2	B2			
AR-130-165859	"'تعد وسائل التواصل الاجتماعي منصات تفاعلية يستفيد منها الجميع، الصغار والكبار على حد سواء. هي بمثابة عالم بديل يتوجه إليه الأفراد لقضاء جزء من أوقاتهم. ومع ذلك، تعتبر هذه الوسائل سلاحاً ذا حدين، يمكن أن يكون مفيداً لمن يعرف كيفية استخدامه بطريقة صحيحة، سواء كان ذلك للتواصل مع الأصدقاء، التعرف على آخر الأخبار، أو حتى لغرض التجارة وتحقيق الربح. ولكن، هناك جانب سلبي يظهر عندما يتم استخدام هذه الوسائل بطريقة غير صحيحة، والذي يمكن أن يؤدي إلى تدمير الحياة الشخصية والاجتماعية.

على سبيل المثال، الإدمان على هذه المنصات يمكن أن يؤدي إلى كوارث شخصية واجتماعية. يمكن أن تسبب مشاكل جسيمة مثل الطلاق والتشتت الأسري، وكذلك قد يؤدي إلى تهميش الأبناء بسبب غياب الرقابة الوالدية. ومن الجدير بالذكر أن الأسرة السليمة تعتبر الأساس الرئيسي لبناء مجتمع صحي. لذا، فإن الإضرار بالأسرة يعني في النهاية الإضرار بالمجتمع بأكمله، لأن الأسرة القوية هي العمود الفقري لأي مجتمع سليم.'"	C1	B2			
AR-130-165859	'تُعد وسائل التواصل الاجتماعي، التي أصبح يستغلها الصغير والكبير على حد سواء، كونًا بديلًا يستعين به الفرد لقضاء جزء من وقته. ومع ذلك، يمكن أن تكون سيفًا ذا حدين، حيث يمكن أن تكون مفيدة لمن يعرف كيفية استغلالها بشكل صحيح في التواصل مع الأصدقاء والبقاء على اطلاع بآخر الأخبار، وقد يستخدمها البعض في التجارة وتحقيق الربح المادي. ولكن، يمكن أن تكون لها تأثيرات سلبية كبيرة على من يساء استخدامها، وقد يؤدي ذلك إلى تدميره. على سبيل المثال، الإدمان على هذه المواقع قد يؤدي إلى كوارث شخصية واجتماعية، مثل مشاكل الطلاق والتشتت الأسري، وكذلك ترك الأبناء دون رقابة من الوالدين. والنتيجة النهائية لهذا الضياع الأسري هو تفكك المجتمع، لأن الأسرة السليمة تُعتبر الأساس لبناء مجتمع متين وصحي.'	C2	B2			
AR-130-168718	'الشركات في الامارات تحب تستخدم الانترنت. الناس يحبون يشوفون الأخبار على الانترنت. الانترنت فيها أشياء زينة و أشياء ما هي زينة. الأشياء الزينة ان الناس يعرفون الأخبار. الأشياء ما هي زينة ان الناس يقعدون على الانترنت كثير. الأهل ما يحبون ان الأولاد يقعدون على الانترنت كثير. الناس يقعدون مع بعض على الانترنت بس ما يقعدون مع بعض برا. الانترنت زينة لو الناس استخدموها شوي و ما نسوا الناس اللي حولهم.'	A1	B2			
AR-130-168718	'تستخدم الكثير من الأماكن في الامارات الانترنت لنشر أخبارها وللبحث عن عمال. هذا يجعل الناس يستخدمون الانترنت كثيرا لمعرفة الأخبار. الانترنت يمكن أن يكون جيد وسيء في نفس الوقت. هذا جيد لأنه يجعل الناس يعرفون الأخبار ويتحدثون عن الأشياء. لكن هذا يمكن أن يكون سيء لأن الناس يستخدمون الانترنت كثيرا ولا يتحدثون مع الناس في الحياة الحقيقية. الأباء والأمهات يقولون أن أطفالهم يستخدمون الانترنت كثيرا. الناس يستخدمون الانترنت للتحدث مع الآخرين ولكن لا يتحدثون مع الناس في الحياة الحقيقية. أعتقد أن الانترنت جيد إذا استخدمت بشكل صحيح. الناس لا ينبغي أن ينسوا أن يتحدثوا مع الناس في الحياة الحقيقية.'	A2	B2			
AR-130-168718	'تعتمد مجموعة متنوعة من المؤسسات والهيئات الحكومية في دولة الإمارات العربية المتحدة على توصيل آخر الأخبار ومتطلباتها المتعلقة بالتوظيف عبر مجموعة متنوعة من البرامج الإلكترونية للتواصل. هذا يدفع أفراد المجتمع إلى البقاء متصلين بشكل مستمر في مجال وسائل التواصل الاجتماعي ليكونوا على اطلاع بالتطورات الحديثة التي تشهدها دولتهم. تؤثر وسائل التواصل الاجتماعي على الأفراد والمجتمع بأساليب إيجابية وسلبية في الوقت نفسه. من الجوانب الإيجابية لوسائل التواصل الاجتماعي على الفرد والمجتمع أنها تحافظ على تحديثهم بشكل مستمر بأحدث الأخبار والتطورات، كما أنها تحافظ على تواصل المجتمعات ونقاش بعض القضايا التي تواجه مجتمعنا، وتقديم الأسباب والوصول إلى حلول لهذه المشاكل. ومع ذلك، فإن هذه الوسائل تؤثر أيضًا بطرق سلبية على مجتمعنا من عدة نواحي. أولاً، يصبح الفرد منغمسًا في جهازه الشخصي أو حاسوبه، بعيدًا عن عائلته وأصدقائه. يشكو العديد من الوالدين من انشغال أبنائهم بشكل مفرط بهذه البرامج، سواء كان ذلك الانشغال مفيدًا أم ضارًا. تؤثر هذه البرامج أيضًا على المجتمع من حيث أن الأفراد يصبحون متصلين بشكل مستمر داخل برامج التواصل فقط وليس خارجها. أعتقد أن وسائل التواصل الاجتماعي يمكن أن تكون مفيدة ومفيدة إذا استخدمها الفرد والمجتمع بنظام، ولا ينسى أن لعائلته ونفسه ومجتمعه حقوقًا يجب احترامها بعيدًا عن هذه البرامج.'	C1	B2			
AR-130-168718	"'تعتمد العديد من المؤسسات والهيئات الحكومية في دولة الإمارات على توضيح أحدث الأخبار ومتطلباتها من القوى العاملة عبر مجموعة متنوعة من البرامج الرقمية للتواصل، مما يدفع أفراد المجتمع إلى الحاجة الملحة للتواجد في ساحة البرامج الاجتماعية للإطلاع على أحدث التطورات التي تمر بها دولتهم. الأثر الذي تتركه وسائل الاتصال الاجتماعي على الأفراد والمجتمع يمكن أن يكون إيجابيا وسلبيا في الوقت نفسه.

من الجوانب الإيجابية لوسائل التواصل الاجتماعي على الفرد والمجتمع، أنها تحافظ على تحديثهم بشكل مستمر بأحدث الأخبار والتطورات، وكذلك تحافظ على التواصل المستمر بين المجتمعات ومناقشة بعض القضايا التي يمر بها مجتمعنا، وتقديم الأسباب والوصول إلى حلول لهذه المشاكل. ومع ذلك، يمكن أن تؤثر هذه الوسائل أيضا بطرق سلبية على مجتمعنا من جوانب عدة.

أولا، يمكن أن يشغل الفرد ذاته بشكل مستمر مع جهازه الشخصي أو حاسوبه، بعيدا عن أسرته وأصدقائه. الكثير من الآباء وأولياء الأمور يشتكون من انشغال أبنائهم بشكل مستمر بهذه البرامج، سواء كان الانشغال هذا بشيء جيد أو سيء. تؤثر هذه البرامج أيضا على المجتمع من حيث أن الأفراد يتواصلون غالبا داخل البرامج الاجتماعية فقط وليس خارجها.

أنا من الرأي أن وسائل التواصل الاجتماعي يمكن أن تكون مفيدة وجيدة إذا استخدمها الفرد والمجتمع في الحدود المناسبة، ولا ينبغي أن ينسى الفرد أن لأسرته ونفسه ومجتمعه حقوقا يجب أن يحترمها بعيدا عن هذه البرامج.'"	C2	B2			
AR-130-186196	'الانترنت والتواصل الاجتماعي مهم جدا. الانترنت مكان كبير. الكثير من الناس يستخدمون الانترنت. الانترنت يمكن أن يكون جيد وسيء. الانترنت جيد لأنه يمكننا التحدث مع الأصدقاء والعائلة. يمكننا أيضا التعلم من الانترنت. لكن الانترنت يمكن أن يكون سيء. بعض الناس يقضون وقت كثير على الانترنت. هم لا يتحدثون مع الأصدقاء والعائلة. هذا يمكن أن يجعلهم يشعرون بالوحدة. بعض الناس يشترون أشياء سيئة من الانترنت مثل الكحول. هذا يمكن أن يكون خطير. بعض الناس يكونون غير لطفاء على الانترنت. هذا يمكن أن يجعل الناس يشعرون بالحزن. يجب أن نحاول أن نكون لطفاء على الانترنت. يجب أن نستخدم الانترنت بشكل جيد. يجب أن نحذر من الانترنت السيء.'	A1	B1			
AR-130-186196	' الانترنت والفيسبوك والتويتر مشهور جدا. كل الناس يستخدمونها. بعض الناس يحبونها كثيرا ويقضون كل الوقت على الانترنت. هذا مشكلة كبيرة. الانترنت ممكن يكون جيد. مثلا، يمكنك التحدث مع عائلتك وأصدقائك في بلدان أخرى. ويمكنك تعلم أشياء جديدة ومفيدة. لكن الانترنت ليس دائما جيد. بعض الناس يقضون كل الوقت في غرفهم على الانترنت ولا يرون أصدقائهم وعائلاتهم. هذا يمكن أن يسبب مشاكل. الانترنت يمكن أن يكون خطير أيضا. بعض الناس يبيعون أشياء سيئة مثل الكحول والمخدرات على الانترنت. وأحيانا، الناس يتعرضون لمشاكل قانونية بسبب الانترنت. في بعض البلدان، إذا كنت تشتم أو تتنمر على الانترنت، يمكن أن تذهب إلى السجن. الانترنت مهم، لكن يجب أن نستخدمه بطريقة جيدة وآمنة.'	A2	B1			
AR-130-186196	"'تحولت وسائل التواصل الاجتماعي وتأثيرها على الفرد والمجتمع الى قوة هائلة، وهذا بدوره أدى إلى ظاهرة الإدمان لدى بعض المراهقين على هذه الوسائل، مما ينتج عنه الإصابة بالأمراض النفسية. أصبح الأفراد يتجاهلون الوقت الذي يقضونه على الإنترنت أو البرامج الاجتماعية، وقد أدى هذا الأمر إلى انقطاع الصلة بالأقارب أو بالأحرى الانقطاع عن العالم الخارجي. 

وسائل التواصل الاجتماعي لها تأثير مزدوج على الشخص، تأثير إيجابي وتأثير سلبي. من الجانب الإيجابي، يتمكن الشخص من التواصل مع أفراد عائلته أو أصدقائه في جميع أنحاء العالم، بالإضافة إلى أنهم يمكنهم التعلم واكتساب المعرفة النافعة من خلال هذه الوسائل، وجمع المعلومات القيمة والمفيدة منها.

من الجانب السلبي، أصبح الجميع الآن معزولين عن زيارة الأصدقاء أو الأهل، والجميع متربع في غرفته بعيدًا عن أفراد الأسرة، وهذا ينتج عنه الانعزال الاجتماعي وكراهية الحضور للمناسبات العائلية أو المناسبات الاجتماعية. الأثر السلبي الثاني هو أن وسائل التواصل الاجتماعي قد تؤدي إلى الإدمان على بعض الأشياء الضارة مثل المخدرات أو الكحول، وهذا يحدث من خلال بيع المخدرات على مواقع التواصل الاجتماعي.

أحيانًا، يتعرض الفرد لمشكلات قانونية بسبب التواصل الاجتماعي، لأنه تم تطبيق قوانين في بعض الدول تحظر التشهير أو التنمر، وهو ما يعرضك للمسائل القانونية والسجن والغرامات.'"	C1	B1			
