Document,errors,word count,existing word count,error rate,grade
AR-030-268469,50,169,150,0.2958579881656805,B1
AR-030-386369,30,152,150,0.19736842105263158,B2
AR-030-81027,14,40,0,0.35,A2
AR-030-81757,89,244,200,0.36475409836065575,B2
AR-030-83625,2,7,0,0.2857142857142857,Unassessable
AR-030-85891,8,36,0,0.2222222222222222,A2
AR-030-87953,34,155,150,0.21935483870967742,B1
AR-030-89249,31,98,50,0.3163265306122449,B1
AR-030-89881,5,40,0,0.125,B1
AR-030-90528,50,156,150,0.32051282051282054,A2
AR-030-92524,63,177,150,0.3559322033898305,B1
AR-030-92800,15,56,50,0.26785714285714285,B1
AR-030-93360,91,208,200,0.4375,B2
AR-030-96339,62,153,150,0.40522875816993464,B1
AR-030-96683,46,158,150,0.2911392405063291,B1
AR-030-97791,55,141,100,0.3900709219858156,B1
AR-130-119813,8,36,0,0.2222222222222222,A2
AR-130-119831,7,35,0,0.2,Unassessable
AR-130-121991965,38,109,100,0.3486238532110092,B1
AR-130-165859,10,89,50,0.11235955056179775,B2
AR-130-165949,22,139,100,0.15827338129496402,B1
AR-130-168718,61,188,150,0.324468085106383,B2
AR-130-186196,62,182,150,0.34065934065934067,B1
AR-130-187968,49,222,200,0.22072072072072071,B1
AR-130-188359,19,54,50,0.35185185185185186,B1
AR-130-188826,39,177,150,0.22033898305084745,B2
AR-130-188847,8,73,50,0.1095890410958904,B1
AR-130-188945,24,103,100,0.23300970873786409,A2
AR-130-189349,72,212,200,0.33962264150943394,B2
AR-130-189525,28,96,50,0.2916666666666667,B1
AR-130-189611,28,174,150,0.16091954022988506,B1
AR-130-189750,30,158,150,0.189873417721519,B1
AR-130-189799,31,158,150,0.1962025316455696,B1
AR-130-189921,41,128,100,0.3203125,B1
AR-130-190122,31,115,100,0.26956521739130435,B1
AR-130-190307,55,169,150,0.3254437869822485,B1
AR-130-190317,24,153,150,0.1568627450980392,B1
AR-130-190447,12,171,150,0.07017543859649122,C1
AR-130-190745,34,92,50,0.3695652173913043,B1
AR-130-190808,7,146,100,0.04794520547945205,B1
AR-130-190855,44,151,150,0.2913907284768212,B2
AR-130-190863,40,142,100,0.28169014084507044,B1
AR-130-191075,10,67,50,0.14925373134328357,B1
AR-130-191088,14,93,50,0.15053763440860216,B1
AR-130-191115,34,183,150,0.18579234972677597,B1
AR-130-191242,18,112,100,0.16071428571428573,B2
AR-130-191743,40,207,200,0.1932367149758454,B1
AR-130-191794,23,162,150,0.1419753086419753,B2
AR-130-191809,20,139,100,0.14388489208633093,B1
AR-130-191850,32,148,150,0.21621621621621623,B1
AR-130-192155,19,97,50,0.1958762886597938,B1
AR-130-192218,20,124,100,0.16129032258064516,B1
AR-130-192387,21,71,50,0.29577464788732394,B1
AR-130-192490,37,152,150,0.24342105263157895,B2
AR-130-192528,34,134,100,0.2537313432835821,B1
AR-130-192582,21,42,0,0.5,B1
AR-130-192654,21,131,100,0.16030534351145037,B2
AR-130-192696,48,158,150,0.3037974683544304,B1
AR-130-192707,21,151,150,0.1390728476821192,B2
AR-130-192747,37,154,150,0.24025974025974026,B1
AR-130-192751,28,102,100,0.27450980392156865,B1
AR-130-192885,41,125,100,0.328,B1
AR-130-192922,24,102,100,0.23529411764705882,B1
AR-130-192949,37,123,100,0.3008130081300813,B1
AR-130-193363,41,111,100,0.36936936936936937,B1
AR-130-193451,41,116,100,0.35344827586206895,B1
AR-130-193838,39,102,50,0.38235294117647056,B1
AR-130-194708,3,33,0,0.09090909090909091,B1
AR-130-194718,37,227,200,0.16299559471365638,B2
AR-130-195100,31,134,100,0.23134328358208955,B1
AR-130-19632,31,86,50,0.36046511627906974,B1
AR-130-197835,117,385,350,0.3038961038961039,B2
AR-130-197898,25,107,100,0.2336448598130841,B2
AR-130-198249,38,161,150,0.2360248447204969,B2
AR-130-19883,23,148,100,0.1554054054054054,B1
AR-130-199101,113,285,250,0.39649122807017545,B2
AR-130-19921,47,183,150,0.2568306010928962,B1
AR-130-199634,37,182,150,0.2032967032967033,B2
AR-130-199747,30,184,150,0.16304347826086957,B2
AR-130-199818,21,110,100,0.19090909090909092,B1
AR-130-287997,21,106,100,0.19811320754716982,B1
AR-130-288874,17,69,50,0.2463768115942029,B2
AR-130-289073,18,73,50,0.2465753424657534,B1
AR-130-289115,7,43,0,0.16279069767441862,A2
AR-130-289903,31,89,50,0.34831460674157305,B1
AR-130-292703,0,5,0,0.0,Unassessable
AR-130-294255,75,209,200,0.3588516746411483,B1
AR-130-68830,5,85,50,0.058823529411764705,B1
AR-130-80566,45,150,150,0.3,B2
AR-130-80816,48,156,150,0.3076923076923077,B1
AR-130-80823,61,184,150,0.33152173913043476,B2
AR-130-81303,28,161,150,0.17391304347826086,B1
AR-130-81425,32,93,50,0.34408602150537637,B1
AR-130-81723,77,259,250,0.2972972972972973,B2
AR-130-81912,6,18,0,0.3333333333333333,Unassessable
AR-130-81924,33,165,150,0.2,B2
