	Document	errors	word count	existing word count	error rate	grade	ratio_of_nouns	ratio_of_verbs	ratio_of_prep	ratio_of_conj	ratio_of_adv
0	AR-030-268469	50	169	150	0.2958579881656805	B1	0.40828402366863903	0.09467455621301775	0.11242603550295859	0.11242603550295859	0.01775147928994083
1	AR-030-386369	30	152	150	0.1973684210526315	B2	0.41025641025641024	0.17307692307692307	0.20512820512820512	0.10897435897435898	0.0
2	AR-030-81027	14	40	0	0.35	A2	0.4146341463414634	0.17073170731707318	0.14634146341463414	0.0975609756097561	0.0
3	AR-030-81757	89	244	200	0.3647540983606557	B2	0.38461538461538464	0.05668016194331984	0.13360323886639677	0.13765182186234817	0.0
4	AR-030-83625	2	7	0	0.2857142857142857	Unassessable	0.2857142857142857	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.0
5	AR-030-85891	8	36	0	0.2222222222222222	A2	0.3333333333333333	0.1111111111111111	0.25	0.1388888888888889	0.027777777777777776
6	AR-030-87953	34	155	150	0.2193548387096774	B1	0.4050632911392405	0.11392405063291139	0.15822784810126583	0.13291139240506328	0.0
7	AR-030-89249	31	98	50	0.3163265306122449	B1	0.3838383838383838	0.09090909090909091	0.16161616161616163	0.0707070707070707	0.0
8	AR-030-89881	5	40	0	0.125	B1	0.4	0.175	0.175	0.075	0.0
9	AR-030-90528	50	156	150	0.3205128205128205	A2	0.4049079754601227	0.09815950920245399	0.1656441717791411	0.09202453987730061	0.0
10	AR-030-92524	63	177	150	0.3559322033898305	B1	0.41899441340782123	0.11173184357541899	0.16201117318435754	0.12849162011173185	0.00558659217877095
11	AR-030-92800	15	56	50	0.2678571428571428	B1	0.42105263157894735	0.05263157894736842	0.21052631578947367	0.05263157894736842	0.0
12	AR-030-93360	91	208	200	0.4375	B2	0.23333333333333334	0.05238095238095238	0.14761904761904762	0.08571428571428572	0.004761904761904762
13	AR-030-96339	62	153	150	0.4052287581699346	B1	0.4090909090909091	0.14285714285714285	0.13636363636363635	0.12337662337662338	0.012987012987012988
14	AR-030-96683	46	158	150	0.2911392405063291	B1	0.48427672955974843	0.10062893081761007	0.11320754716981132	0.12578616352201258	0.018867924528301886
15	AR-030-97791	55	141	100	0.3900709219858156	B1	0.40425531914893614	0.10638297872340426	0.1702127659574468	0.11347517730496454	0.0
16	AR-130-119813	8	36	0	0.2222222222222222	A2	0.32432432432432434	0.1891891891891892	0.16216216216216217	0.08108108108108109	0.0
17	AR-130-119831	7	35	0	0.2	Unassessable	0.2702702702702703	0.05405405405405406	0.1891891891891892	0.05405405405405406	0.0
18	AR-130-121991965	38	109	100	0.3486238532110092	B1	0.4036697247706422	0.10091743119266056	0.14678899082568808	0.11926605504587157	0.009174311926605505
19	AR-130-165859	10	89	50	0.1123595505617977	B2	0.5056179775280899	0.0449438202247191	0.20224719101123595	0.10112359550561797	0.011235955056179775
20	AR-130-165949	22	139	100	0.158273381294964	B1	0.4928571428571429	0.05714285714285714	0.17142857142857143	0.10714285714285714	0.0
21	AR-130-168718	61	188	150	0.324468085106383	B2	0.43915343915343913	0.1164021164021164	0.164021164021164	0.1164021164021164	0.010582010582010581
22	AR-130-186196	62	182	150	0.3406593406593406	B1	0.4673913043478261	0.1358695652173913	0.16304347826086957	0.11956521739130435	0.005434782608695652
23	AR-130-187968	49	222	200	0.2207207207207207	B1	0.4675324675324675	0.09090909090909091	0.18614718614718614	0.12554112554112554	0.017316017316017316
24	AR-130-188359	19	54	50	0.3518518518518518	B1	0.48148148148148145	0.05555555555555555	0.18518518518518517	0.09259259259259259	0.018518518518518517
