Document	Raw	grade
AR-030-268469	"وسائل التواصل الاجتماعي لها اضرار و فوائد كثيرة. ولكن بان في الأوان الأخيره ان مضاره اكبر بكثير من منافعه. فاذا نش الطفل و هو بيده هاتفا او جهاز الكترونيا ستلاحظ عدم قدرته على الاستجابه بسرعه. و ايضا سوف تلاحظ عدم قدرته على التركيز. و مضار التواصل الاجتماعي لم يكتفي بالأطفال و المراهقين فقط بل على جميع الفئات العمريهز فكم من شخص قد رحل من هذيه الدنيا بسبب حادث سياره و سببه الهاتف المتحرك ليتفقد الشخص صفحة على مواقع التواصل الاجتماعي. ايضا مقارنتا فس ماجلس الشباب سابقا قبل ضهور مواقع التواصل, لرئيت شباب يضحكون مع بعضهم او لربما يلعبون لعبتا ما, اما الان فترى شباب جالسين جمبهم الجمب ولا يتكلمون مع بعضهم البعض و تراهم جميعا على مواقع التواصل الاجتماعي. التواصل الاجتماعي اثر كثيرا على عاداتنا كبشر و كمجتمع. و ترا ايضا مرات اما مشغولة عن ابنائها بالتواصل الاجتماعي او موضف مشغول بهاتفه اثناء اوقات الدوام. مواقع التواصل الاجتماعي كسيف ذو حدين و لكن اصبحت مضاره اكثر من منافعه. اصبح يميل الى نوع من انواع الادمان الذي يجب الحذر منه."	B1
AR-030-386369	تعد وسائل التواصل الاجتماعي من اكبر المؤثرات على الفرد في مجتمعنا الحالي، وذلك بسبب ادمان الفرد على استخدامها بشكل متواصل ويومي. تتنوع المؤثرات منها الايجابية والسلبية على الافراد في دولتنا، الايجابية منها سرعة التواصل و سهولته وتنوعها كالرسائل الفورية والصوتية والتواصلل المرئي و الصوتي. ايضا يمكن للفائدة ان تشمل الناس عامة في وظائفهم من خلال تمكنهم من استخدما البريد الالكتروني والاجتماعات خلال هذه الوسائل. ومن السلبيات التي تنتج من وسائل التواصل الاجتماعي الابتزاز الالكتروني وهي ظاهرة منتشرة في الآوانه الاخيرة وغير ذلك اضاعة الوقت الذي يمكن استثمارة بفائدة اخرى ومن امثلة اضاعة الوقت قضاء وقت العمل على وسائل التواصل الاجتماعي لإضاعته. ومن مؤثرات الوسائل على المجتمع ان تنتشر الاشاعات التي تولد وتزيد من المشاكل ومنها المشاكل الاسرية والاجتماعية والسياسية وغيرها. وعلى سبيل التأثير الايجابي من الممكن ان تنتشر التوعية في بعض المجالات على المجتمع خلال وسائل التواصل، ايضا من الممكن ان تنتشر بعض الثقافات الايجابية على المجتمع من خلال وسائل التواصل كالقراءة.	B2
AR-030-81027	قام انتشارالوساءل للتواصل الاجتماعية بشكل كبير و هذا اثر على المجتمع بشكل ايجابي و سلبي من الاثار الايجابي للتواصل الاجتماعي هي التواصل مع الناس بشكل اسهل . و من ال الاثار ال سلبية هيه انتشار الكراهية و الفساد بين الناس.	A2
AR-030-81757	وسائل التواصل الاجتماعي لقد تطورت وسائل المعرفه و التقدم و اجتاحت وسائل التواصل الاجتماعي منازلنا ، و حياتنا و ايضا مائدة طعامنا دون استئذان ، فللاسف اصبحت فرد من العائة ، فرد غير مرحب به ولكنه متواجد رغما عنا فقد اصبح مسيطر على خلايا ادمغتنا و ، حواسنا ، لا انكرر بان هذا الفرد قرب لنا البعيد و لكن مع ذلك ابعد القرب ،و اصبحت الاخبار بوجوده تصلنا بالثواني من حدوثها حتى ان كانت من مشرق الارض او مغربها ، فهو يجمع العالم كله في شاشّه لامعه صغيره ، ولكن لنتحدث بكل اريحيه و صراحه ، مواقع التواصل الاجتماعي اصبحت عباره عن اداة ذات حدين قد تدمر حياتك او حياه اي شخص اخر بكبسة زر و قد تشرق حياة احدهم من ذات كبسة الزر تلك ، ولكن هذا بالطبع هذا يعتمد علينا نحن كافراد ، على مدى سيطرت تلك الشاشات علينا، علينا عدم الاستسلام و العيش في عالم قد يزول بمجرد ان نطفئ الانترنت ، علينا مزاولة العيش فحياتنا الواقعيه و مع ذلك يجب علينا مواكبة التطور و لكن ليس للحد الذي يجعلنا ننسى من نحن، او من حولنا ، و بالاخير لكل شيمضار و منافع و علينا توخي الحذر و توسيع مدارك افكارنا و تحمل مسؤولية افعالنا فهي ستؤثر علينا ، وعلى عوائلنا و مجتمعنا ، فلكم ان تتخيلوا مجتمع كامل يقتات في احدى هذه الشاشات و يحيى بين كبسة زر و اخرى و الاشاعات تجتاحه بالطبع سيدمر من اساسه حتى اخره ، واخيرا مثلما قلت علينا توخي الحذر دائما و ابدا .	B2
AR-030-83625	من اشهر وساءل الاتصال بالآخرين هي الاجتماعية،	Unassessable
AR-030-85891	التواصل الاجتماعي من اخطر الاشياء لانها تبعدنا عن والدينا و لا تعطينا الوقت الكافي للجلوس معهم وذالك يوثر في عقولنا و تصرفاتنا بشكل سلبي وليس جيدا ابدا. لذالك يجب علينا ان لا نستخدمها كثيرا وننتبه لها.	A2
AR-030-87953	يوجد الكثير من الطرق لكي نعزز ثقافة التسامح في المجتمع ومن الممكن تتطويرها ونشرها الي دول اخري لكي نحصل على انطباع جيد من الزوار والناس عامةً ، ومنها هي نشراوراق توعيه تدل على اهمية عزيمتها ومدى تقديرها للشعب.ومن الممكن القاء محاضرات في المدارس للكبار والصغار بطريقه مبتكره لكي لا يشعروا بالملل ومن الممكن ان يستفيدوا من هذا الشيء. التطور جدا مهم في دولة الامارات العربيه المتحده وحيث ان شهدت ان دوله الامارات العربيه المتحده هي اكثر تطويرا في العالم بأكمله ومع مرور الوقت سوف يزداد هذا التطور ومنها سوف يتطور في الحضاره وسوف تشهد الشعب ان هذه دوله متكامله ودوله مستعمره. حيث ان الشيخ زايد رحمه الله وجميع حكام دولة الامارات حرصوا على التطوير الحضاري اكثر من كل شيء فيجب ان نشعر بالامان والامتناء لهذه النعمه الذي اعطونا ايها. لدى التواصل الاجتماعي تأثير قوي لدى الشعب واصبحنا لا يمكننا العيش بدونه حيث اصبح جميع الناس من كل النواحي اصبح لديهم هاتف محمول والالكنرونيات ومنها الاكثر	B1
AR-030-89249	يعتبر التسامح النوعيه الجيده و من الضروري بنا المجتمع ، وفي هاذا المجتمع يبدو ان معدل التسامح انخفض بعد مروره الايام الناس لا يحبون راي الاخرين و حتي في تفكيرهم ،يجب تطوير التسامح في مجتمعنا حاليا اعطي فرصه للاخرين لتطوير نفسهم التسامح هو الشي الراىيسي فيالتعليم لاي شخص التفكير بما يفعلونه يخلق صراعات بينهم و النقاشات في في الاشيا الصغيره و ليس لها ضروره التسامح يجب ان يكون لنا واجب فهو يمثل شخصيتكو اسلوبك و حتي السلوك لا يخلق شخصا مثاليا بل يحفز الاخرين ايضا علي التسامح مع الاخرين. يجب ان ياحذ دور كبير في مجتمعنا لهاذا الاسباب	B1
AR-030-89881	في عصرنا هذا اصبح التواصل الاجتماعي شي اساسي نستخدمه بشكل يومي. للتواصل الاجتماعي الكثير من الايجابيات والسلبيات التي اثرت على حياتنا بشكل ملحوظ. من ايجابات التواصل الاجتماعي انها عملت على تسهيل التواصل بين البشر وجعلتنا نتعلم ونتعرف على ثقافات مختلفه	B1
AR-030-90528	"التواصل الاجتماعي له اثر جدا كبير في مجتمعنا الحالي. الانترنت غير الانسان بشكل غير طبيعي و في راي غير الانسان للاسوء لان مشغول طوال اليوم يتواصل مع النسان و لم يكون لديه اي وقت فراغ ليجلس مع اهله و عاءلته. لم انكر فيه اجابيات كثيرة مثل ممكن الانسان التواصل مع فرد برع الدولة و ممكن ايضا اي يبحث عن معلومات في ""قوقل"" ليساعدهم في مثلا واجب. المجتمع تحسن بسبب التواصل الاجتماعي في التكنولوجيا الذي ساعد في تطور الدولة و العالم و الفرد يريد ان يطور مجتمعه و ليطور مجتمع يحتاج الى التواصل الاجماعي عشان يعرف المجتمع الى اي حد مطور ليعمل شيء جديد و غير مالوف لان في هذه الطريقة المجتمع ستطور الى الافضل.في طرف ثاني لتواصل الاجتماعيي مثل ""instagram""""twitter""""snapchat"" هذه البرامج تستخدمانها ليتواصلوا مع اصدقااهم و احباءهم و ممكن يرسلوا صور او فديو لبعض ليعرفوا اخبار بعض. هاذا الشيء جيد اذا استخدموها بالطريقة الصحيحة و اذا استخدموها بطريقة الخاطءة سيفسد المجتمع بشكل بكير و خاطء."	A2
