	Document	Sentence	POS	LEX	lemma#pos	readability
0	AR-130-88399	جميعنا,	noun_prop	جميعنا,	جميعنا,#noun_prop	0
1	AR-130-88399	أو	conj	أَو	أَو#conj	0
2	AR-130-88399	أغلبيتنا,	noun_prop	اغلبيتنا,	اغلبيتنا,#noun_prop	0
3	AR-130-88399	نمتلك	verb	ٱِمْتَلَك	ٱِمْتَلَك#verb	3
4	AR-130-88399	هاتفا	noun	هاتِف	هاتِف#noun	1
5	AR-130-88399	و	conj	وَ	وَ#conj	1
6	AR-130-88399	على	prep	عَلَى	عَلَى#prep	1
7	AR-130-88399	هذه	pron_dem	هٰذا	هٰذا#pron_dem	1
8	AR-130-88399	الهاتف	noun	هاتِف	هاتِف#noun	1
9	AR-130-88399	هناك	adv	هُناكَ	هُناكَ#adv	1
10	AR-130-88399	الكثير	noun	كَثِير	كَثِير#noun	0
11	AR-130-88399	من	prep	مِن	مِن#prep	1
12	AR-130-88399	مواقع	noun	مَوْقِع	مَوْقِع#noun	2
13	AR-130-88399	التواصل	noun	تَواصُل	تَواصُل#noun	3
14	AR-130-88399	الأجتماعي	adj	ٱِجْتِماعِيّ	ٱِجْتِماعِيّ#adj	3
15	AR-130-88399	.	punc	.	.#punc	0
16	AR-130-88399	هذه	pron_dem	هٰذا	هٰذا#pron_dem	1
17	AR-130-88399	المواقع	noun	مَوْقِع	مَوْقِع#noun	2
18	AR-130-88399	قد	part_verb	قَدْ	قَدْ#part_verb	3
19	AR-130-88399	تجمعنا	verb	جَمَع	جَمَع#verb	1
20	AR-130-88399	مع	prep	مَع	مَع#prep	0
21	AR-130-88399	أقارب	noun	أَقْرَب	أَقْرَب#noun	1
22	AR-130-88399	نا	noun_prop	نا	نا#noun_prop	0
23	AR-130-88399	أو	conj	أَو	أَو#conj	0
24	AR-130-88399	أصدقاء	noun	صَدِيق	صَدِيق#noun	1
25	AR-130-88399	نا	noun_prop	نا	نا#noun_prop	0
26	AR-130-88399	أو	conj	أَو	أَو#conj	0
27	AR-130-88399	الكثير	noun	كَثِير	كَثِير#noun	0
28	AR-130-88399	من	prep	مِن	مِن#prep	1
29	AR-130-88399	الناس	noun	ناس	ناس#noun	1
30	AR-130-88399	حول	noun	حَوْل	حَوْل#noun	1
31	AR-130-88399	العالم	noun	عالَم	عالَم#noun	1
32	AR-130-88399	.	punc	.	.#punc	0
33	AR-130-88399	و	conj	وَ	وَ#conj	1
34	AR-130-88399	لكن	conj	لٰكِنَّ	لٰكِنَّ#conj	0
35	AR-130-88399	ها	pron_dem	ها	ها#pron_dem	5
36	AR-130-88399	قد	part_verb	قَدْ	قَدْ#part_verb	3
37	AR-130-88399	تلوث	noun	تَلَوُّث	تَلَوُّث#noun	2
38	AR-130-88399	أفكار	noun	فِكْر	فِكْر#noun	3
39	AR-130-88399	نا	noun_prop	نا	نا#noun_prop	0
40	AR-130-88399	و	conj	وَ	وَ#conj	1
41	AR-130-88399	نزرع	verb	زَرَع	زَرَع#verb	1
42	AR-130-88399	كره	noun	كُرْه	كُرْه#noun	1
43	AR-130-88399	النفس,	noun_prop	النفس,	النفس,#noun_prop	0
44	AR-130-88399	لكن	conj	لٰكِنَّ	لٰكِنَّ#conj	0
45	AR-130-88399	يجب	verb	وَجَب	وَجَب#verb	3
46	AR-130-88399	أن	conj_sub	أَنَّ	أَنَّ#conj_sub	2
47	AR-130-88399	نتذكر	verb	تَذَكَّر	تَذَكَّر#verb	1
48	AR-130-88399	أن	conj_sub	أَنَّ	أَنَّ#conj_sub	2
49	AR-130-88399	نا	noun_prop	نا	نا#noun_prop	0
50	AR-130-88399	نحن	pron	نَحْنُ	نَحْنُ#pron	1
51	AR-130-88399	الذين	pron_rel	الَّذِي	الَّذِي#pron_rel	3
52	AR-130-88399	نمس	verb	مَسّ	مَسّ#verb	4
53	AR-130-88399	ك	abbrev	كَ	كَ#abbrev	0
54	AR-130-88399	هذه	pron_dem	هٰذا	هٰذا#pron_dem	1
55	AR-130-88399	الهواتف	noun	هاتِف	هاتِف#noun	1
56	AR-130-88399	و	conj	وَ	وَ#conj	1
57	AR-130-88399	نشعر	verb	شَعَر	شَعَر#verb	1
58	AR-130-88399	بما	pron_rel	ما	ما#pron_rel	3
59	AR-130-88399	نريد	verb	أَراد	أَراد#verb	1
60	AR-130-88399	أن	conj_sub	أَنَّ	أَنَّ#conj_sub	2
61	AR-130-88399	نشعر	verb	شَعَر	شَعَر#verb	1
62	AR-130-88399	به	prep	بِ	بِ#prep	1
63	AR-130-88399	.	punc	.	.#punc	0
64	AR-130-88399	وسائل	noun	وَسِيلَة	وَسِيلَة#noun	2
65	AR-130-88399	التواصل	noun	تَواصُل	تَواصُل#noun	3
66	AR-130-88399	الاجتماعي	adj	ٱِجْتِماعِيّ	ٱِجْتِماعِيّ#adj	3
67	AR-130-88399	أحيانا	adv	حِين	حِين#adv	0
68	AR-130-88399	تزيد	verb	زاد	زاد#verb	1
69	AR-130-88399	الوعي	noun	وَعْي	وَعْي#noun	3
70	AR-130-88399	عن	prep	عَن	عَن#prep	1
71	AR-130-88399	الكوارث	noun	كارِثَة	كارِثَة#noun	3
72	AR-130-88399	التي	pron_rel	الَّذِي	الَّذِي#pron_rel	3
73	AR-130-88399	تحدث	verb	تَحَدَّث	تَحَدَّث#verb	1
74	AR-130-88399	حول	noun	حَوْل	حَوْل#noun	1
75	AR-130-88399	العالم	noun	عالَم	عالَم#noun	1
76	AR-130-88399	و	conj	وَ	وَ#conj	1
77	AR-130-88399	لكن	conj	لٰكِنَّ	لٰكِنَّ#conj	0
78	AR-130-88399	ها	pron_dem	ها	ها#pron_dem	5
79	AR-130-88399	أيضا	noun	أَيْض	أَيْض#noun	4
80	AR-130-88399	تسبب	verb	تَسَبَّب	تَسَبَّب#verb	2
81	AR-130-88399	الكوارث	noun	كارِثَة	كارِثَة#noun	3
82	AR-130-88399	يجب	verb	وَجَب	وَجَب#verb	3
83	AR-130-88399	أن	conj_sub	أَنَّ	أَنَّ#conj_sub	2
84	AR-130-88399	نحافظ	verb	حافَظ	حافَظ#verb	2
85	AR-130-88399	على	prep	عَلَى	عَلَى#prep	1
86	AR-130-88399	أمن	noun	أَمْن	أَمْن#noun	1
87	AR-130-88399	نا	noun_prop	نا	نا#noun_prop	0
88	AR-130-88399	و	conj	وَ	وَ#conj	1
89	AR-130-88399	لا	part_neg	لا	لا#part_neg	1
90	AR-130-88399	نعطي	verb	أَعْطَى	أَعْطَى#verb	2
91	AR-130-88399	الجميع	noun	جَمِيع	جَمِيع#noun	0
92	AR-130-88399	معلومات	noun	مَعْلُومَة	مَعْلُومَة#noun	2
93	AR-130-88399	عن	prep	عَن	عَن#prep	1
94	AR-130-88399	حياة	noun	حَياة	حَياة#noun	1
95	AR-130-88399	نا	noun_prop	نا	نا#noun_prop	0
96	AR-130-88399	ل	prep	لِ	لِ#prep	1
97	AR-130-88399	كي	conj	كَي	كَي#conj	0
98	AR-130-88399	نصيح	verb	صاح	صاح#verb	2
99	AR-130-88399	مجتمع	noun	مُجْتَمَع	مُجْتَمَع#noun	2
100	AR-130-88399	سليم	noun_prop	سَلِيم	سَلِيم#noun_prop	0
101	AR-130-88399	على	prep	عَلَى	عَلَى#prep	1
102	AR-130-88399	نا	noun_prop	نا	نا#noun_prop	0
103	AR-130-88399	الحفاظ	noun	حِفاظ	حِفاظ#noun	2
104	AR-130-88399	على	prep	عَلَى	عَلَى#prep	1
105	AR-130-88399	أمانة	noun	أَمانَة	أَمانَة#noun	1
106	AR-130-88399	نا	noun_prop	نا	نا#noun_prop	0
107	AR-130-88399	و	conj	وَ	وَ#conj	1
108	AR-130-88399	على	prep	عَلَى	عَلَى#prep	1
109	AR-130-88399	أمانات	noun	أَمانَة	أَمانَة#noun	1
110	AR-130-88399	الغير	noun	غَيْر	غَيْر#noun	2
111	AR-130-88399	.	punc	.	.#punc	0
112	AR-130-192528	وسائل	noun	وَسِيلَة	وَسِيلَة#noun	2
113	AR-130-192528	التواصل	noun	تَواصُل	تَواصُل#noun	3
114	AR-130-192528	الاجتماعي	adj	ٱِجْتِماعِيّ	ٱِجْتِماعِيّ#adj	3
115	AR-130-192528	تأثر	noun	تَأَثُّر	تَأَثُّر#noun	3
116	AR-130-192528	تأثيرا	noun	تَأْثِير	تَأْثِير#noun	2
117	AR-130-192528	قويا	adj	قَوِيّ	قَوِيّ#adj	1
118	AR-130-192528	على	prep	عَلَى	عَلَى#prep	1
119	AR-130-192528	الفرد	noun	فَرْد	فَرْد#noun	3
120	AR-130-192528	و	conj	وَ	وَ#conj	1
121	AR-130-192528	المجتمع	noun	مُجْتَمَع	مُجْتَمَع#noun	2
122	AR-130-192528	و	conj	وَ	وَ#conj	1
123	AR-130-192528	ب	abbrev	بِ	بِ#abbrev	0
124	AR-130-192528	الأخص	noun	أَخَصّ	أَخَصّ#noun	0
125	AR-130-192528	على	prep	عَلَى	عَلَى#prep	1
126	AR-130-192528	الاطفال	noun	طِفْل	طِفْل#noun	1
127	AR-130-192528	.	punc	.	.#punc	0
128	AR-130-192528	في	prep	فِي	فِي#prep	1
129	AR-130-192528	الوقت	noun	وَقْت	وَقْت#noun	1
130	AR-130-192528	الحالي	adj	حالِيّ	حالِيّ#adj	3
131	AR-130-192528	الجميع	noun	جَمِيع	جَمِيع#noun	0
132	AR-130-192528	أصبح	verb	أَصْبَح	أَصْبَح#verb	2
133	AR-130-192528	على	prep	عَلَى	عَلَى#prep	1
134	AR-130-192528	وسائل	noun	وَسِيلَة	وَسِيلَة#noun	2
135	AR-130-192528	التواصل	noun	تَواصُل	تَواصُل#noun	3
136	AR-130-192528	الاجتماعي	adj	ٱِجْتِماعِيّ	ٱِجْتِماعِيّ#adj	3
137	AR-130-192528	.	punc	.	.#punc	0
138	AR-130-192528	من	prep	مِن	مِن#prep	1
139	AR-130-192528	أهم	noun	أَهَمّ	أَهَمّ#noun	0
140	AR-130-192528	اضرارها،	noun_prop	اضرارها،	اضرارها،#noun_prop	0
141	AR-130-192528	أن	conj_sub	أَنَّ	أَنَّ#conj_sub	2
142	AR-130-192528	لا	part_neg	لا	لا#part_neg	1
143	AR-130-192528	يجلسون	verb	جَلَس	جَلَس#verb	1
144	AR-130-192528	مع	prep	مَع	مَع#prep	0
145	AR-130-192528	الأهل	noun	أَهْل	أَهْل#noun	1
146	AR-130-192528	جميع	noun	جَمِيع	جَمِيع#noun	0
147	AR-130-192528	الوقت	noun	وَقْت	وَقْت#noun	1
